generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,338,0.00012487781653238995,0.00015522644566775062,0.00013993895834564792,6.158169100025821e-06
1,352,0.00012487781653238995,0.00015522644566775062,0.00014062162597692235,6.139169341493447e-06
2,351,0.00012487781653238995,0.00015522644566775062,0.0001409565948634506,6.07075888111311e-06
3,350,0.00012487781653238995,0.00015522644566775062,0.00014091096287201352,5.999636085227354e-06
4,340,0.00012487781653238995,0.00015522644566775062,0.00014132232334658943,5.9916602078326104e-06
5,339,0.00012487781653238995,0.00015522644566775062,0.00014136771003308248,5.392905948796638e-06
6,330,0.00012797270354668685,0.00015522644566775062,0.00014142572252619535,5.240951072570425e-06
7,323,0.00012797270354668685,0.00015522644566775062,0.00014120706617913999,5.414155722392012e-06
8,337,0.00012797270354668685,0.00015522644566775062,0.0001414944963141809,5.6238382212204055e-06
9,353,0.00012797270354668685,0.00015522644566775062,0.00014119504360496146,5.804715355114018e-06
10,356,0.00012797270354668685,0.00015522644566775062,0.00014134192168193947,5.887603796795071e-06
11,326,0.00012797270354668685,0.00015522644566775062,0.00014137210474862176,5.6453159602671595e-06
12,353,0.00012797270354668685,0.00015522644566775062,0.00014165618098014812,5.817311552419089e-06
13,340,0.0001238226539234391,0.00015522644566775062,0.0001410140374662287,6.166919903468902e-06
14,358,0.00012797270354668685,0.00015522644566775062,0.00014072326725916436,6.010103417836017e-06
15,328,0.00012797270354668685,0.00015522644566775062,0.00014130875995590865,6.0903897657642865e-06
16,331,0.0001269658431893838,0.00015522644566775062,0.00014111136875430977,6.0994178388195324e-06
17,344,0.0001269658431893838,0.00015522644566775062,0.000141811091170823,6.238147618790531e-06
18,345,0.00012809321811545421,0.00015522644566775062,0.00014207043554622032,5.837010081270543e-06
19,349,0.00012809321811545421,0.00015522644566775062,0.00014264273798202887,5.810343462367751e-06
20,331,0.00012809321811545421,0.00015522644566775062,0.0001429044881608862,5.86034273144843e-06
21,351,0.00012809321811545421,0.00015522644566775062,0.00014307926959593407,6.030775920233969e-06
22,334,0.00012809321811545421,0.00015522644566775062,0.00014335668669110177,6.034689784660708e-06
23,333,0.00012809321811545421,0.00015522644566775062,0.00014358325963707787,6.114270931360727e-06
24,342,0.00012809321811545421,0.00015522644566775062,0.00014379479939527647,5.9493764484301e-06
25,341,0.00012809321811545421,0.00015522644566775062,0.00014407640787089896,5.847418572235252e-06
26,335,0.00012809321811545421,0.00015548154366092881,0.00014433210297239314,6.021387712832559e-06
27,341,0.0001285968054139782,0.00015548154366092881,0.00014468168155857013,6.0758542689293945e-06
28,352,0.0001285968054139782,0.00015548154366092881,0.00014445383575271704,6.276815693735186e-06
29,346,0.0001285968054139782,0.00015548154366092881,0.00014457956300329986,6.48734419349906e-06
30,326,0.00012646593555771664,0.00015522644566775062,0.000144925691632398,6.276262056637669e-06
31,334,0.0001285968054139782,0.00015522644566775062,0.00014542353081823517,5.8861598215883545e-06
32,356,0.00013233958699116423,0.00015522644566775062,0.00014557272739991212,5.534049536406298e-06
33,353,0.00013310775016561567,0.00015522644566775062,0.00014576055398532087,5.918805363950915e-06
34,328,0.00013310775016561567,0.00015522644566775062,0.00014626641495513458,5.972556464786827e-06
35,333,0.00012172561809349752,0.00015522644566775062,0.00014647616744485855,5.975160084945565e-06
36,347,0.00012835852740257915,0.00015522644566775062,0.00014651351944299036,5.995211845035323e-06
37,356,0.0001329540678234509,0.00015522644566775062,0.00014676634103852657,6.0003148998700484e-06
38,339,0.0001329540678234509,0.00015522644566775062,0.00014647533077240455,6.046652089495062e-06
39,320,0.0001329540678234509,0.00015522644566775062,0.0001465144948329668,6.085459033496988e-06
40,345,0.0001329540678234509,0.00015522644566775062,0.000146762759256939,5.942875761839775e-06
41,340,0.0001329540678234509,0.00015522644566775062,0.00014733218415355774,6.197622046244493e-06
42,349,0.0001329540678234509,0.00015522644566775062,0.00014781576430394257,6.1106138536347315e-06
43,338,0.0001329540678234509,0.00015530004786821558,0.00014784240326882426,6.147676939094853e-06
44,341,0.0001329540678234509,0.00015522644566775062,0.0001474935722999135,6.15183169934383e-06
45,339,0.0001329540678234509,0.00015522644566775062,0.00014769325258632367,6.106742043966523e-06
46,351,0.0001329540678234509,0.00015522644566775062,0.00014847000303194093,5.439049871359197e-06
47,346,0.0001329540678234509,0.00015522644566775062,0.00014845553312549568,5.607287997035792e-06
48,340,0.00012670184962673342,0.00015522644566775062,0.00014812933847209052,5.692798421870307e-06
49,348,0.00012670184962673342,0.00015522644566775062,0.00014809927201753497,5.842687101521255e-06
50,354,0.00012670184962673342,0.00015522644566775062,0.00014807153531650223,6.078714093059953e-06
51,332,0.00012670184962673342,0.00015522644566775062,0.000148674126612158,5.639376339081006e-06
52,366,0.00012670184962673342,0.00015522644566775062,0.00014829829470048222,5.6347930925361614e-06
53,322,0.00012670184962673342,0.00015522644566775062,0.00014897391563955495,5.4491808664894115e-06
54,352,0.00013244628565113524,0.00015522644566775062,0.00014865372258171246,5.452871637776651e-06
55,344,0.00013244628565113524,0.0001579159533435766,0.00014910521544161175,5.2012419115932944e-06
56,327,0.00013244628565113524,0.0001579159533435766,0.0001491886812839265,4.771016495254383e-06
57,329,0.00013244628565113524,0.0001579159533435766,0.00014893730039401042,5.1793811889292475e-06
58,344,0.00013244628565113524,0.0001579159533435766,0.0001492467263415376,5.197295427941255e-06
59,337,0.0001329540678234509,0.0001579159533435766,0.0001494436885864369,5.033168086542975e-06
60,358,0.0001298441531534327,0.00015627754068886146,0.00014954745549446765,4.556888840452399e-06
61,346,0.00013310775016561567,0.00015627754068886146,0.0001498297550619809,4.252313713690911e-06
62,335,0.00013641308069651576,0.00015627754068886146,0.00014984259851346372,4.181389803523015e-06
63,336,0.00013641308069651576,0.00015627754068886146,0.00014992072907127606,4.130966485298077e-06
64,338,0.00013610509765513845,0.00015627754068886146,0.00014998872766678004,4.048442045796693e-06
65,343,0.00013641308069651576,0.00015627754068886146,0.0001497790935047599,4.232269795108634e-06
66,346,0.00013641308069651576,0.00015627754068886146,0.00014984663565561286,4.176414465766883e-06
67,354,0.00013732430650121918,0.00015627754068886146,0.0001497024917056684,4.270349026919693e-06
68,320,0.00013732430650121918,0.00015627754068886146,0.00015003099970649564,3.91525668144256e-06
69,345,0.00013732430650121918,0.00015627754068886146,0.0001500907439258247,3.888937323060257e-06
70,347,0.00013129498825167375,0.00015627754068886146,0.00015043214238504984,3.7454574837230604e-06
71,354,0.00013129498825167375,0.00015627754068886146,0.00015057234539930136,3.7187899018243223e-06
72,332,0.00013129498825167375,0.00015627754068886146,0.0001505906472897533,4.1406126132940785e-06
73,340,0.00013129498825167375,0.00015627754068886146,0.00015015720887055645,4.531478748643815e-06
74,324,0.00013129498825167375,0.00015634153306661155,0.00015026004137558188,4.498572156711417e-06
75,331,0.00013293919218159797,0.00015634153306661155,0.00015047022576110622,4.190361504595124e-06
76,330,0.00013293919218159797,0.00015634153306661155,0.00015064636174455808,4.0620037290097905e-06
77,329,0.00013422992428824293,0.00015634153306661155,0.00015042192512961243,4.354701665014396e-06
78,341,0.00013432485930927463,0.00015634153306661155,0.0001501757296523093,4.278459816129608e-06
79,332,0.0001342299242882429,0.00015634153306661155,0.00015002061823464808,4.179395159246876e-06
80,358,0.00013432485930927463,0.00015634153306661155,0.00015001995920016953,4.138017646977852e-06
81,345,0.00013152804964886068,0.00015634153306661155,0.0001499873684638813,4.11691994000631e-06
82,345,0.00013152804964886068,0.00015634153306661155,0.00015007332604084495,4.357762150521851e-06
83,346,0.00013152804964886068,0.00015634153306661155,0.00015024114643851535,4.060619962307402e-06
84,330,0.00013152804964886068,0.00015634153306661155,0.0001503471479092265,3.998510129109311e-06
85,362,0.00013152804964886068,0.00015634153306661155,0.0001503684142811771,4.149222149097772e-06
86,328,0.00013152804964886068,0.00015634153306661155,0.0001505891545448965,4.224699939599878e-06
87,346,0.00013152804964886068,0.00015634153306661155,0.0001505890432629841,4.092309284969524e-06
88,350,0.00013819722317791027,0.00015627754068886146,0.0001506293435917593,3.8349624042591134e-06
89,333,0.00013389125199491758,0.00015627754068886146,0.00015086623236810554,3.841093644642569e-06
90,334,0.00013544484147990092,0.00015627754068886146,0.00015072595161804868,3.972346348365457e-06
91,329,0.0001323695052030736,0.00015627754068886146,0.0001509389980827571,4.1636372835784296e-06
92,333,0.0001323695052030736,0.00015627754068886146,0.0001511583450733701,4.222540438338906e-06
93,355,0.0001323695052030736,0.00015627754068886146,0.00015142364377009428,3.974309219904728e-06
94,332,0.0001323695052030736,0.00015627754068886146,0.0001513992065998649,4.11994243059755e-06
95,351,0.0001323695052030736,0.00015627754068886146,0.00015129939919673028,4.411513309059297e-06
96,351,0.00012755370584396756,0.00015627754068886146,0.00015125382287604468,4.563061821119068e-06
97,334,0.00012755370584396756,0.00015627754068886146,0.00015090508326212146,5.229201047236067e-06
98,338,0.00012755370584396756,0.00015627754068886146,0.00015102014665723266,4.985603036359237e-06
99,340,0.00013391145104563773,0.00015627754068886146,0.00015080849580073827,4.8059379712556335e-06
100,341,0.00013391145104563773,0.00015627754068886146,0.00015078704678673547,4.682527570393908e-06
101,328,0.0001322246452878893,0.00015627754068886146,0.0001510895369875217,4.834611940452334e-06
102,341,0.00013391145104563773,0.00015627754068886146,0.0001515705789190333,4.316118503349184e-06
103,359,0.00013391145104563773,0.00015627754068886146,0.00015127120244998868,4.46080250682573e-06
104,332,0.00013391145104563773,0.00015627754068886146,0.0001510658396368091,4.666972863685591e-06
105,334,0.00013391145104563773,0.00015627754068886146,0.00015077381325817623,4.8984376571140175e-06
106,347,0.00013391145104563773,0.00015627754068886146,0.0001511092080804568,4.700496040697952e-06
107,330,0.00013391145104563773,0.00015627754068886146,0.00015122107531842182,4.69832955959544e-06
108,340,0.00013391145104563773,0.00015627754068886146,0.00015059795491308327,5.041000291932681e-06
109,347,0.00012897870510508068,0.00015627754068886146,0.00015058983651998145,5.008630683618881e-06
110,358,0.00013391145104563773,0.00015627754068886146,0.00015085453376450155,4.675985522916695e-06
111,340,0.00013391145104563773,0.00015627754068886146,0.00015080814202208753,4.7050279137682705e-06
112,347,0.00013391145104563773,0.00015627754068886146,0.00015101642688913726,4.833097736551275e-06
113,346,0.00013391145104563773,0.00015627754068886146,0.00015097775130232222,5.262054963273565e-06
114,345,0.00013391145104563773,0.00015627754068886146,0.00015119291642213823,5.131109182588985e-06
115,339,0.00013391145104563773,0.00015627754068886146,0.00015161000721461868,4.813661237545257e-06
116,351,0.00013293919218159797,0.00015627754068886146,0.0001512778394446619,5.2140449315953956e-06
117,360,0.0001304209127105316,0.00015627754068886146,0.0001513607436378277,5.309476124132412e-06
118,332,0.0001304209127105316,0.00015627754068886146,0.00015099287816217264,5.531435940895017e-06
119,347,0.0001304209127105316,0.00015627754068886146,0.00015106223253469342,5.59842415832198e-06
120,330,0.0001304209127105316,0.00015627754068886146,0.00015113646895467933,5.554708815050987e-06
121,360,0.0001297712012731149,0.00015627754068886146,0.00015107097372426358,5.535397569018504e-06
122,332,0.0001297712012731149,0.00015627754068886146,0.0001509034630817916,5.488807879351674e-06
123,323,0.000125556094405589,0.00015627754068886146,0.00015105574009532062,5.770033354568929e-06
124,341,0.00013390974923087638,0.00015627754068886146,0.00015154522170218387,5.11938883402586e-06
125,337,0.00013290022261297648,0.00015627754068886146,0.00015158441609491427,4.9762930943849475e-06
126,341,0.00013391145104563773,0.00015627754068886146,0.00015186747800959344,4.473897644167183e-06
